date,iso_code,indicator,indicator_code,value
2020-01-01,IBT,Population,SP.POP.TOTL,6570914880.0
2020-01-01,IDA,Population,SP.POP.TOTL,1708606728.0
2020-01-01,IDB,Population,SP.POP.TOTL,574159138.0
2020-01-01,IDN,Population,SP.POP.TOTL,273523621.0
2020-01-01,IDX,Population,SP.POP.TOTL,1134447590.0
2020-01-01,IMN,Population,SP.POP.TOTL,85032.0
2020-01-01,IND,Population,SP.POP.TOTL,1380004385.0
2020-01-01,IRL,Population,SP.POP.TOTL,4985674.0
2020-01-01,IRN,Population,SP.POP.TOTL,83992953.0
2020-01-01,IRQ,Population,SP.POP.TOTL,40222503.0
2020-01-01,ISL,Population,SP.POP.TOTL,366463.0
2020-01-01,ISR,Population,SP.POP.TOTL,9215100.0
2020-01-01,ITA,Population,SP.POP.TOTL,59449527.0
2020-01-01,JAM,Population,SP.POP.TOTL,2961161.0
2020-01-01,JOR,Population,SP.POP.TOTL,10203140.0
2020-01-01,JPN,Population,SP.POP.TOTL,125836021.0
2020-01-01,KAZ,Population,SP.POP.TOTL,18754440.0
2020-01-01,KEN,Population,SP.POP.TOTL,53771300.0
2020-01-01,KGZ,Population,SP.POP.TOTL,6579900.0
2020-01-01,KHM,Population,SP.POP.TOTL,16718971.0
2020-01-01,KIR,Population,SP.POP.TOTL,119446.0
2020-01-01,KNA,Population,SP.POP.TOTL,53192.0
2020-01-01,KOR,Population,SP.POP.TOTL,51836239.0
2020-01-01,KWT,Population,SP.POP.TOTL,4270563.0
2020-01-01,LAC,Population,SP.POP.TOTL,595242966.0
2020-01-01,LAO,Population,SP.POP.TOTL,7275556.0
2020-01-01,LBN,Population,SP.POP.TOTL,6825442.0
2020-01-01,LBR,Population,SP.POP.TOTL,5057677.0
2020-01-01,LBY,Population,SP.POP.TOTL,6871287.0
2020-01-01,LCA,Population,SP.POP.TOTL,183629.0
2020-01-01,LCN,Population,SP.POP.TOTL,652365260.0
2020-01-01,LDC,Population,SP.POP.TOTL,1057131013.0
2020-01-01,LIC,Population,SP.POP.TOTL,665149035.0
2020-01-01,LIE,Population,SP.POP.TOTL,38137.0
2020-01-01,LKA,Population,SP.POP.TOTL,21919000.0
2020-01-01,LMC,Population,SP.POP.TOTL,3330640847.0
2020-01-01,LMY,Population,SP.POP.TOTL,6518228149.0
2020-01-01,LSO,Population,SP.POP.TOTL,2142252.0
2020-01-01,LTE,Population,SP.POP.TOTL,2316662680.0
2020-01-01,LTU,Population,SP.POP.TOTL,2794885.0
2020-01-01,LUX,Population,SP.POP.TOTL,630419.0
2020-01-01,LVA,Population,SP.POP.TOTL,1900449.0
2020-01-01,MAC,Population,SP.POP.TOTL,649342.0
2020-01-01,MAF,Population,SP.POP.TOTL,38659.0
2020-01-01,MAR,Population,SP.POP.TOTL,36910558.0
2020-01-01,MCO,Population,SP.POP.TOTL,39244.0
2020-01-01,MDA,Population,SP.POP.TOTL,2620495.0
2020-01-01,MDG,Population,SP.POP.TOTL,27691019.0
2020-01-01,MDV,Population,SP.POP.TOTL,540542.0
2020-01-01,MEA,Population,SP.POP.TOTL,464542370.0
2020-01-01,MEX,Population,SP.POP.TOTL,128932753.0
2020-01-01,MHL,Population,SP.POP.TOTL,59194.0
2020-01-01,MIC,Population,SP.POP.TOTL,5853079114.0
2020-01-01,MKD,Population,SP.POP.TOTL,2072531.0
2020-01-01,MLI,Population,SP.POP.TOTL,20250834.0
2020-01-01,MLT,Population,SP.POP.TOTL,515332.0
2020-01-01,MMR,Population,SP.POP.TOTL,54409794.0
2020-01-01,MNA,Population,SP.POP.TOTL,396147843.0
2020-01-01,MNE,Population,SP.POP.TOTL,621306.0
2020-01-01,MNG,Population,SP.POP.TOTL,3278292.0
2020-01-01,MNP,Population,SP.POP.TOTL,57557.0
2020-01-01,MOZ,Population,SP.POP.TOTL,31255435.0
2020-01-01,MRT,Population,SP.POP.TOTL,4649660.0
2020-01-01,MUS,Population,SP.POP.TOTL,1265740.0
2020-01-01,MWI,Population,SP.POP.TOTL,19129955.0
2020-01-01,MYS,Population,SP.POP.TOTL,32365998.0
2020-01-01,NAC,Population,SP.POP.TOTL,369602187.0
2020-01-01,NAM,Population,SP.POP.TOTL,2540916.0
2020-01-01,NCL,Population,SP.POP.TOTL,271960.0
2020-01-01,NER,Population,SP.POP.TOTL,24206636.0
2020-01-01,NGA,Population,SP.POP.TOTL,206139587.0
2020-01-01,NIC,Population,SP.POP.TOTL,6624554.0
2020-01-01,NLD,Population,SP.POP.TOTL,17441500.0
2020-01-01,NOR,Population,SP.POP.TOTL,5379475.0
2020-01-01,NPL,Population,SP.POP.TOTL,29136808.0
2020-01-01,NRU,Population,SP.POP.TOTL,10834.0
2020-01-01,NZL,Population,SP.POP.TOTL,5084300.0
2020-01-01,OED,Population,SP.POP.TOTL,1372683615.0
2020-01-01,OMN,Population,SP.POP.TOTL,5106622.0
2020-01-01,OSS,Population,SP.POP.TOTL,31929881.0
2020-01-01,PAK,Population,SP.POP.TOTL,220892331.0
2020-01-01,PAN,Population,SP.POP.TOTL,4314768.0
2020-01-01,PER,Population,SP.POP.TOTL,32971846.0
2020-01-01,PHL,Population,SP.POP.TOTL,109581085.0
2020-01-01,PLW,Population,SP.POP.TOTL,18092.0
2020-01-01,PNG,Population,SP.POP.TOTL,8947027.0
2020-01-01,POL,Population,SP.POP.TOTL,37899070.0
2020-01-01,PRE,Population,SP.POP.TOTL,970795671.0
2020-01-01,PRI,Population,SP.POP.TOTL,3281538.0
2020-01-01,PRK,Population,SP.POP.TOTL,25778815.0
2020-01-01,PRT,Population,SP.POP.TOTL,10297081.0
2020-01-01,PRY,Population,SP.POP.TOTL,7132530.0
2020-01-01,PSE,Population,SP.POP.TOTL,4803269.0
2020-01-01,PSS,Population,SP.POP.TOTL,2528958.0
2020-01-01,PST,Population,SP.POP.TOTL,1116984877.0
2020-01-01,PYF,Population,SP.POP.TOTL,280904.0
2020-01-01,QAT,Population,SP.POP.TOTL,2881060.0
2020-01-01,ROU,Population,SP.POP.TOTL,19257520.0
2020-01-01,RUS,Population,SP.POP.TOTL,144104080.0
2020-01-01,RWA,Population,SP.POP.TOTL,12952209.0
2020-01-01,SAS,Population,SP.POP.TOTL,1856882402.0
2020-01-01,SAU,Population,SP.POP.TOTL,34813867.0
2020-01-01,SDN,Population,SP.POP.TOTL,43849269.0
2020-01-01,SEN,Population,SP.POP.TOTL,16743930.0
2020-01-01,SGP,Population,SP.POP.TOTL,5685807.0
2020-01-01,SLB,Population,SP.POP.TOTL,686878.0
2020-01-01,SLE,Population,SP.POP.TOTL,7976985.0
2020-01-01,SLV,Population,SP.POP.TOTL,6486201.0
2020-01-01,SMR,Population,SP.POP.TOTL,33938.0
2020-01-01,SOM,Population,SP.POP.TOTL,15893219.0
2020-01-01,SRB,Population,SP.POP.TOTL,6899126.0
2020-01-01,SSA,Population,SP.POP.TOTL,1135948313.0
2020-01-01,SSD,Population,SP.POP.TOTL,11193729.0
2020-01-01,SSF,Population,SP.POP.TOTL,1136046775.0
2020-01-01,SST,Population,SP.POP.TOTL,41901130.0
2020-01-01,STP,Population,SP.POP.TOTL,219161.0
2020-01-01,SUR,Population,SP.POP.TOTL,586634.0
2020-01-01,SVK,Population,SP.POP.TOTL,5458827.0
2020-01-01,SVN,Population,SP.POP.TOTL,2102419.0
2020-01-01,SWE,Population,SP.POP.TOTL,10353442.0
2020-01-01,SWZ,Population,SP.POP.TOTL,1160164.0
2020-01-01,SXM,Population,SP.POP.TOTL,42310.0
2020-01-01,SYC,Population,SP.POP.TOTL,98462.0
2020-01-01,SYR,Population,SP.POP.TOTL,17500657.0
2020-01-01,TCA,Population,SP.POP.TOTL,38718.0
2020-01-01,TCD,Population,SP.POP.TOTL,16425859.0
2020-01-01,TEA,Population,SP.POP.TOTL,2088015667.0
2020-01-01,TEC,Population,SP.POP.TOTL,462132622.0
2020-01-01,TGO,Population,SP.POP.TOTL,8278737.0
2020-01-01,THA,Population,SP.POP.TOTL,69799978.0
2020-01-01,TJK,Population,SP.POP.TOTL,9537642.0
2020-01-01,TKM,Population,SP.POP.TOTL,6031187.0
2020-01-01,TLA,Population,SP.POP.TOTL,636492840.0
2020-01-01,TLS,Population,SP.POP.TOTL,1318442.0
2020-01-01,TMN,Population,SP.POP.TOTL,391344574.0
2020-01-01,TON,Population,SP.POP.TOTL,105697.0
2020-01-01,TSA,Population,SP.POP.TOTL,1856882402.0
