period,Energy,Non-energy,Agriculture,Beverages,Food,Oils & Meals,Grains,Other Food,Raw Materials,Timber,Other Raw Mat.,Fertilizers,Metals & Minerals,Base Metals (ex. iron ore),Precious Metals
1960-01-01,,,22.0320871106026,25.4433014911401,21.1941014709747,23.1690772037528,23.5775053556188,16.4385076552837,22.3334867521699,16.2392222755759,28.9980577384398,,12.8958924008567,14.0736800082014,3.26873458679149
1960-02-01,,,21.8084592647818,25.1406604907951,20.8854095808715,22.4764135873269,23.4269827651744,16.4918007593422,22.356704258529,16.2392222755759,29.0466654653658,,12.9291469329017,14.1146648688096,3.26873458679149
1960-03-01,,,21.8960965590582,24.6420866034463,21.0574126001684,22.1755272632439,23.7529099899626,17.1466107417285,22.5374473244246,16.2392222755759,29.4250656886696,,12.7205589931869,13.8575887018022,3.26873458679149
1960-04-01,,,22.0395322419948,24.8649113354689,21.2328641953466,22.4073400174603,23.4933316387642,17.6416791072413,22.5627303865448,16.2392222755759,29.477997823602,,12.9295701504514,14.1151864672569,3.26873458679149
1960-05-01,,,22.0492859347289,24.8357112492456,21.0873415952669,22.0482435116688,23.8516696358307,17.3210662639547,22.9695451631979,16.2392222755759,30.329697453494,,12.7306535211006,13.8700297976171,3.26873458679149
1960-06-01,,,21.7425465586783,24.739797610967,20.6792586805443,21.687112830978,23.4315879532828,16.8620738660235,22.8018254026922,16.2392222755759,29.978562573086,,12.751078193696,13.8952023773472,3.26873458679149
1960-07-01,,,21.6823127584155,24.854313996112,20.8207726410243,21.7478344622029,23.2803620563025,17.3748498224231,22.1625750720933,16.2392222755759,28.640240316312,,12.8054753272167,13.9622446358824,3.26873458679149
1960-08-01,,,21.7262105388425,24.8183322820968,21.0734861123852,22.085411315417,23.7973152529733,17.2767421968429,21.7397589036093,16.2392222755759,27.7550404787525,,12.650771342105,13.7715782552294,3.26873458679149
1960-09-01,,,21.8783710883103,24.7213710233381,21.3059900510366,22.1861920364812,24.1411956025576,17.5817286890712,21.8233939159813,16.2392222755759,27.9301371398652,,12.5018766689397,13.5880716156918,3.26873458679149
1960-10-01,,,21.2184501744565,24.7895469322424,20.3191841328954,21.4567155586002,23.2355995144281,16.1828748542959,21.5874372253828,16.2392222755759,27.4361427286822,,12.3243050755995,13.3692218363244,3.26873458679149
